Plus Sign<br/><br/>What does this glyph look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any array.  R is a non-negative integer vector whose elements are the dimensions of Y.  If Y is a scalar, then R is an empty vector.  The rank of Y is given by ⍴⍴Y.<br/><br/>What is the name of this glyph?",Shape <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Rho.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Shape.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Reshape<br/><br/>What does this glyph look like?,⍴ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Rho.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any array.  X must be a simple scalar or vector of non-negative integers.  R is an array of shape X whose elements are taken from Y in row-major sequence and repeated cyclically if required.  If Y is empty, R is composed of fill elements of Y (⊂∊⊃Y with ⎕ml←0).  If X contains at least one zero, then R is empty.  If X is an empty vector, then R is scalar.<br/><br/>What does this glyph look like?",⍴ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Rho.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reshape.htm'>Take me to primitive function documentation</a>,Docs->Sym
Reshape<br/><br/>What does this glyph do?,"Y may be any array.  X must be a simple scalar or vector of non-negative integers.  R is an array of shape X whose elements are taken from Y in row-major sequence and repeated cyclically if required.  If Y is empty, R is composed of fill elements of Y (⊂∊⊃Y with ⎕ml←0).  If X contains at least one zero, then R is empty.  If X is an empty vector, then R is scalar. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Rho.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reshape.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any array.  X must be a simple scalar or vector of non-negative integers.  R is an array of shape X whose elements are taken from Y in row-major sequence and repeated cyclically if required.  If Y is empty, R is composed of fill elements of Y (⊂∊⊃Y with ⎕ml←0).  If X contains at least one zero, then R is empty.  If X is an empty vector, then R is scalar.<br/><br/>What is the name of this glyph?",Reshape <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Rho.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reshape.htm'>Take me to primitive function documentation</a>,Docs->Name
⍴<br/><br/>What does this glyph do?,"Y may be any array.  X must be a simple scalar or vector of non-negative integers.  R is an array of shape X whose elements are taken from Y in row-major sequence and repeated cyclically if required.  If Y is empty, R is composed of fill elements of Y (⊂∊⊃Y with ⎕ml←0).  If X contains at least one zero, then R is empty.  If X is an empty vector, then R is scalar. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Rho.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Shape.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reshape.htm'>Take me to Link</a>",Sym->Docs
⍴<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Rho <br/> Monadic: Shape Of <br/> Dyadic: Reshape <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Rho.htm'>Take me to symbol documentation</a>,Sym->Name
Comma<br/><br/>What does this glyph look like?,", <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a>",Name->Sym
Monadic: Ravel<br/><br/>What does this glyph look like?,", <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a>",Name->Sym
Y may be any array.  R is a vector of the elements of Y taken in row-major order. <br/> See also: Ravel with Axes.<br/><br/>What does this glyph look like?,", <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Ravel.htm'>Take me to primitive function documentation</a>",Docs->Sym
Ravel<br/><br/>What does this glyph do?,Y may be any array.  R is a vector of the elements of Y taken in row-major order. <br/> See also: Ravel with Axes. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Ravel.htm'>Take me to primitive function documentation</a>,Name->Docs
Y may be any array.  R is a vector of the elements of Y taken in row-major order. <br/> See also: Ravel with Axes.<br/><br/>What is the name of this glyph?,Ravel <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Ravel.htm'>Take me to primitive function documentation</a>,Docs->Name
"Dyadic: Catenate/Laminate
(Join)<br/><br/>What does this glyph look like?",", <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a>",Name->Sym
"Y may be any array.  X may be any array.  The axis specification is optional.  If specified, K must be a numeric scalar or 1-element vector which may have a fractional value.  If not specified, the last axis is implied. <br/> The form R←X⍪Y may be used to imply catenation along the first axis. <br/> Two cases of the function catenate  are permitted: <br/> The arrays X and Y are joined along the required axis to form array R.  A scalar is extended to the shape of the other argument except that the required axis is restricted to a unit dimension.  X and Y must have the same shape (after extension) except along the required axis, or one of the arguments may have rank one less than the other, provided that their shapes conform to the prior rule after augmenting the array of lower rank to have a unit dimension along the required axis. The rank of R is the greater of the ranks of the arguments, but not less than 1. <br/> If, after extension, exactly one of X and Y have a length of zero along the joined axis, then the data type of R will be that of the argument with a non-zero length. Otherwise, the data type of R will be that of X. <br/> The arrays X and Y are joined along a new axis created before the ⌈Kth axis.  The new axis has a length of 2.  K must exceed ⎕IO (the index origin) minus 1, and K must be less than ⎕IO plus the greater of the ranks of X and Y.  A scalar  argument is extended to the shape of the other argument.  Otherwise X and Y must have the same shape. <br/> The rank of R is one plus the greater of the ranks of X and Y.<br/><br/>What does this glyph look like?",", <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Catenate Laminate.htm'>Take me to primitive function documentation</a>",Docs->Sym
Catenate/Laminate<br/><br/>What does this glyph do?,"Y may be any array.  X may be any array.  The axis specification is optional.  If specified, K must be a numeric scalar or 1-element vector which may have a fractional value.  If not specified, the last axis is implied. <br/> The form R←X⍪Y may be used to imply catenation along the first axis. <br/> Two cases of the function catenate  are permitted: <br/> The arrays X and Y are joined along the required axis to form array R.  A scalar is extended to the shape of the other argument except that the required axis is restricted to a unit dimension.  X and Y must have the same shape (after extension) except along the required axis, or one of the arguments may have rank one less than the other, provided that their shapes conform to the prior rule after augmenting the array of lower rank to have a unit dimension along the required axis. The rank of R is the greater of the ranks of the arguments, but not less than 1. <br/> If, after extension, exactly one of X and Y have a length of zero along the joined axis, then the data type of R will be that of the argument with a non-zero length. Otherwise, the data type of R will be that of X. <br/> The arrays X and Y are joined along a new axis created before the ⌈Kth axis.  The new axis has a length of 2.  K must exceed ⎕IO (the index origin) minus 1, and K must be less than ⎕IO plus the greater of the ranks of X and Y.  A scalar  argument is extended to the shape of the other argument.  Otherwise X and Y must have the same shape. <br/> The rank of R is one plus the greater of the ranks of X and Y. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Catenate Laminate.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any array.  X may be any array.  The axis specification is optional.  If specified, K must be a numeric scalar or 1-element vector which may have a fractional value.  If not specified, the last axis is implied. <br/> The form R←X⍪Y may be used to imply catenation along the first axis. <br/> Two cases of the function catenate  are permitted: <br/> The arrays X and Y are joined along the required axis to form array R.  A scalar is extended to the shape of the other argument except that the required axis is restricted to a unit dimension.  X and Y must have the same shape (after extension) except along the required axis, or one of the arguments may have rank one less than the other, provided that their shapes conform to the prior rule after augmenting the array of lower rank to have a unit dimension along the required axis. The rank of R is the greater of the ranks of the arguments, but not less than 1. <br/> If, after extension, exactly one of X and Y have a length of zero along the joined axis, then the data type of R will be that of the argument with a non-zero length. Otherwise, the data type of R will be that of X. <br/> The arrays X and Y are joined along a new axis created before the ⌈Kth axis.  The new axis has a length of 2.  K must exceed ⎕IO (the index origin) minus 1, and K must be less than ⎕IO plus the greater of the ranks of X and Y.  A scalar  argument is extended to the shape of the other argument.  Otherwise X and Y must have the same shape. <br/> The rank of R is one plus the greater of the ranks of X and Y.<br/><br/>What is the name of this glyph?",Catenate/Laminate <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Catenate Laminate.htm'>Take me to primitive function documentation</a>,Docs->Name
",<br/><br/>What does this glyph do?","Y may be any array.  X may be any array.  The axis specification is optional.  If specified, K must be a numeric scalar or 1-element vector which may have a fractional value.  If not specified, the last axis is implied. <br/> The form R←X⍪Y may be used to imply catenation along the first axis. <br/> Two cases of the function catenate  are permitted: <br/> The arrays X and Y are joined along the required axis to form array R.  A scalar is extended to the shape of the other argument except that the required axis is restricted to a unit dimension.  X and Y must have the same shape (after extension) except along the required axis, or one of the arguments may have rank one less than the other, provided that their shapes conform to the prior rule after augmenting the array of lower rank to have a unit dimension along the required axis. The rank of R is the greater of the ranks of the arguments, but not less than 1. <br/> If, after extension, exactly one of X and Y have a length of zero along the joined axis, then the data type of R will be that of the argument with a non-zero length. Otherwise, the data type of R will be that of X. <br/> The arrays X and Y are joined along a new axis created before the ⌈Kth axis.  The new axis has a length of 2.  K must exceed ⎕IO (the index origin) minus 1, and K must be less than ⎕IO plus the greater of the ranks of X and Y.  A scalar  argument is extended to the shape of the other argument.  Otherwise X and Y must have the same shape. <br/> The rank of R is one plus the greater of the ranks of X and Y. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Ravel.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Catenate Laminate.htm'>Take me to Link</a>",Sym->Docs
",<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?","Comma <br/> Monadic: Ravel <br/> Dyadic: Catenate/Laminate
(Join) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma.htm'>Take me to symbol documentation</a>",Sym->Name
Comma Bar<br/><br/>What does this glyph look like?,⍪ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Table<br/><br/>What does this glyph look like?,⍪ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any array. R is a 2-dimensional matrix of the elements of Y taken in row-major order, preserving the shape of the first dimension of Y if it exists  <br/> Table has been implemented according to the Extended APL Standard (ISO/IEC 13751:2001).<br/><br/>What does this glyph look like?",⍪ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Table.htm'>Take me to primitive function documentation</a>,Docs->Sym
Table<br/><br/>What does this glyph do?,"Y may be any array. R is a 2-dimensional matrix of the elements of Y taken in row-major order, preserving the shape of the first dimension of Y if it exists  <br/> Table has been implemented according to the Extended APL Standard (ISO/IEC 13751:2001). <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Table.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any array. R is a 2-dimensional matrix of the elements of Y taken in row-major order, preserving the shape of the first dimension of Y if it exists  <br/> Table has been implemented according to the Extended APL Standard (ISO/IEC 13751:2001).<br/><br/>What is the name of this glyph?",Table <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Table.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Catenate First<br/><br/>What does this glyph look like?,⍪ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a>,Name->Sym
"The form R←X⍪Y implies catenation along the first axis whereas the form R←X,Y implies catenation along the last axis (columns).  See Catenate/Laminate.<br/><br/>What does this glyph look like?",⍪ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Catenate First.htm'>Take me to primitive function documentation</a>,Docs->Sym
CatenateFirst<br/><br/>What does this glyph look like?,⍪ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Catenate First.htm'>Take me to primitive function documentation</a>,Name->Sym
CatenateFirst<br/><br/>What does this glyph do?,"The form R←X⍪Y implies catenation along the first axis whereas the form R←X,Y implies catenation along the last axis (columns).  See Catenate/Laminate. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Catenate First.htm'>Take me to primitive function documentation</a>",Name->Docs
"The form R←X⍪Y implies catenation along the first axis whereas the form R←X,Y implies catenation along the last axis (columns).  See Catenate/Laminate.<br/><br/>What is the name of this glyph?",CatenateFirst <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Catenate First.htm'>Take me to primitive function documentation</a>,Docs->Name
⍪<br/><br/>What does this glyph do?,"The form R←X⍪Y implies catenation along the first axis whereas the form R←X,Y implies catenation along the last axis (columns).  See Catenate/Laminate. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Table.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Catenate First.htm'>Take me to Link</a>",Sym->Docs
⍪<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Comma Bar <br/> Monadic: Table <br/> Dyadic: Catenate First <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Comma Bar.htm'>Take me to symbol documentation</a>,Sym->Name
Circle Stile<br/><br/>What does this glyph look like?,⌽ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Reverse<br/><br/>What does this glyph look like?,⌽ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any array.  The axis specification is optional.  If present, K must be an integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis is implied.  The form R←⊖Y implies the first axis. <br/> R is the array Y reversed on the Kth or implied axis.<br/><br/>What does this glyph look like?",⌽ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reverse.htm'>Take me to primitive function documentation</a>,Docs->Sym
Reverse<br/><br/>What does this glyph do?,"Y may be any array.  The axis specification is optional.  If present, K must be an integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis is implied.  The form R←⊖Y implies the first axis. <br/> R is the array Y reversed on the Kth or implied axis. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reverse.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any array.  The axis specification is optional.  If present, K must be an integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis is implied.  The form R←⊖Y implies the first axis. <br/> R is the array Y reversed on the Kth or implied axis.<br/><br/>What is the name of this glyph?",Reverse <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reverse.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Rotate<br/><br/>What does this glyph look like?,⌽ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any array.  X must be a simple integer array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector. <br/> The value of K must be an axis of Y.  If absent, the last axis of Y is implied.  The form R←X⊖Y implies the first axis. <br/> X must have the same shape as Y, excluding Y's Kth axis. Otherwise, if X is a one-element array, it will be extended to conform. <br/> R is an array with the same shape as Y, with the elements of each of the vectors along the Kth axis of Y rotated by the value of the corresponding element of X.  If the value is positive, the rotation is in the sense of right to left.  If the value is negative, the rotation is in the sense of left to right.<br/><br/>What does this glyph look like?",⌽ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Rotate.htm'>Take me to primitive function documentation</a>,Docs->Sym
Rotate<br/><br/>What does this glyph do?,"Y may be any array.  X must be a simple integer array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector. <br/> The value of K must be an axis of Y.  If absent, the last axis of Y is implied.  The form R←X⊖Y implies the first axis. <br/> X must have the same shape as Y, excluding Y's Kth axis. Otherwise, if X is a one-element array, it will be extended to conform. <br/> R is an array with the same shape as Y, with the elements of each of the vectors along the Kth axis of Y rotated by the value of the corresponding element of X.  If the value is positive, the rotation is in the sense of right to left.  If the value is negative, the rotation is in the sense of left to right. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Rotate.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any array.  X must be a simple integer array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector. <br/> The value of K must be an axis of Y.  If absent, the last axis of Y is implied.  The form R←X⊖Y implies the first axis. <br/> X must have the same shape as Y, excluding Y's Kth axis. Otherwise, if X is a one-element array, it will be extended to conform. <br/> R is an array with the same shape as Y, with the elements of each of the vectors along the Kth axis of Y rotated by the value of the corresponding element of X.  If the value is positive, the rotation is in the sense of right to left.  If the value is negative, the rotation is in the sense of left to right.<br/><br/>What is the name of this glyph?",Rotate <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Rotate.htm'>Take me to primitive function documentation</a>,Docs->Name
⌽<br/><br/>What does this glyph do?,"Y may be any array.  X must be a simple integer array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector. <br/> The value of K must be an axis of Y.  If absent, the last axis of Y is implied.  The form R←X⊖Y implies the first axis. <br/> X must have the same shape as Y, excluding Y's Kth axis. Otherwise, if X is a one-element array, it will be extended to conform. <br/> R is an array with the same shape as Y, with the elements of each of the vectors along the Kth axis of Y rotated by the value of the corresponding element of X.  If the value is positive, the rotation is in the sense of right to left.  If the value is negative, the rotation is in the sense of left to right. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reverse.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Rotate.htm'>Take me to Link</a>",Sym->Docs
⌽<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Circle Stile <br/> Monadic: Reverse <br/> Dyadic: Rotate <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Stile.htm'>Take me to symbol documentation</a>,Sym->Name
Circle Bar<br/><br/>What does this glyph look like?,⊖ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Reverse First<br/><br/>What does this glyph look like?,⊖ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a>,Name->Sym
The form R←⊖Y implies reversal along the first axis.  See Reverse.<br/><br/>What does this glyph look like?,⊖ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reverse First.htm'>Take me to primitive function documentation</a>,Docs->Sym
ReverseFirst<br/><br/>What does this glyph look like?,⊖ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reverse First.htm'>Take me to primitive function documentation</a>,Name->Sym
ReverseFirst<br/><br/>What does this glyph do?,The form R←⊖Y implies reversal along the first axis.  See Reverse. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reverse First.htm'>Take me to primitive function documentation</a>,Name->Docs
The form R←⊖Y implies reversal along the first axis.  See Reverse.<br/><br/>What is the name of this glyph?,ReverseFirst <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reverse First.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Rotate First<br/><br/>What does this glyph look like?,⊖ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a>,Name->Sym
The form R←X⊖Y implies rotation along the first axis.  See Rotate.<br/><br/>What does this glyph look like?,⊖ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Rotate First.htm'>Take me to primitive function documentation</a>,Docs->Sym
RotateFirst<br/><br/>What does this glyph look like?,⊖ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Rotate First.htm'>Take me to primitive function documentation</a>,Name->Sym
RotateFirst<br/><br/>What does this glyph do?,The form R←X⊖Y implies rotation along the first axis.  See Rotate. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Rotate First.htm'>Take me to primitive function documentation</a>,Name->Docs
The form R←X⊖Y implies rotation along the first axis.  See Rotate.<br/><br/>What is the name of this glyph?,RotateFirst <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Rotate First.htm'>Take me to primitive function documentation</a>,Docs->Name
⊖<br/><br/>What does this glyph do?,The form R←X⊖Y implies rotation along the first axis.  See Rotate. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reverse First.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Rotate First.htm'>Take me to Link</a>,Sym->Docs
⊖<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Circle Bar <br/> Monadic: Reverse First <br/> Dyadic: Rotate First <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Circle Bar.htm'>Take me to symbol documentation</a>,Sym->Name
Circle Backslash<br/><br/>What does this glyph look like?,⍉ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Transpose.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Transpose<br/><br/>What does this glyph look like?,⍉ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Transpose.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any array.  R is an array of shape ⌽⍴Y, similar to Y with the order of the axes reversed.<br/><br/>What does this glyph look like?",⍉ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Transpose.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Transpose Monadic.htm'>Take me to primitive function documentation</a>,Docs->Sym
Transpose(Monadic)<br/><br/>What does this glyph look like?,⍉ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Transpose.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Transpose Monadic.htm'>Take me to primitive function documentation</a>,Name->Sym
Transpose(Monadic)<br/><br/>What does this glyph do?,"Y may be any array.  R is an array of shape ⌽⍴Y, similar to Y with the order of the axes reversed. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Transpose.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Transpose Monadic.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any array.  R is an array of shape ⌽⍴Y, similar to Y with the order of the axes reversed.<br/><br/>What is the name of this glyph?",Transpose(Monadic) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Transpose.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Transpose Monadic.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: DyadicTranspose<br/><br/>What does this glyph look like?,⍉ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Transpose.htm'>Take me to symbol documentation</a>,Name->Sym
