Plus Sign,+
Dyadic: Rotate,⌽
"Y may be any array.  X must be a simple integer array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector.<br/>The value of K must be an axis of Y.  If absent, the last axis of Y is implied.  The form R←X⊖Y implies the first axis.<br/>X must have the same shape as Y, excluding Y's Kth axis. Otherwise, if X is a one-element array, it will be extended to conform.<br/>R is an array with the same shape as Y, with the elements of each of the vectors along the Kth axis of Y rotated by the value of the corresponding element of X.  If the value is positive, the rotation is in the sense of right to left.  If the value is negative, the rotation is in the sense of left to right.",⌽
⌽,"Y may be any array.  X must be a simple integer array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector.<br/>The value of K must be an axis of Y.  If absent, the last axis of Y is implied.  The form R←X⊖Y implies the first axis.<br/>X must have the same shape as Y, excluding Y's Kth axis. Otherwise, if X is a one-element array, it will be extended to conform.<br/>R is an array with the same shape as Y, with the elements of each of the vectors along the Kth axis of Y rotated by the value of the corresponding element of X.  If the value is positive, the rotation is in the sense of right to left.  If the value is negative, the rotation is in the sense of left to right."
Rotate,"Y may be any array.  X must be a simple integer array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector.<br/>The value of K must be an axis of Y.  If absent, the last axis of Y is implied.  The form R←X⊖Y implies the first axis.<br/>X must have the same shape as Y, excluding Y's Kth axis. Otherwise, if X is a one-element array, it will be extended to conform.<br/>R is an array with the same shape as Y, with the elements of each of the vectors along the Kth axis of Y rotated by the value of the corresponding element of X.  If the value is positive, the rotation is in the sense of right to left.  If the value is negative, the rotation is in the sense of left to right."
"Y may be any array.  X must be a simple integer array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector.<br/>The value of K must be an axis of Y.  If absent, the last axis of Y is implied.  The form R←X⊖Y implies the first axis.<br/>X must have the same shape as Y, excluding Y's Kth axis. Otherwise, if X is a one-element array, it will be extended to conform.<br/>R is an array with the same shape as Y, with the elements of each of the vectors along the Kth axis of Y rotated by the value of the corresponding element of X.  If the value is positive, the rotation is in the sense of right to left.  If the value is negative, the rotation is in the sense of left to right.",Rotate
⌽,Circle Stile<br/>Monadic: Reverse<br/>Dyadic: Rotate
Circle Bar,⊖
Monadic: Reverse First,⊖
The form R←⊖Y implies reversal along the first axis.  See Reverse.,⊖
⊖,The form R←⊖Y implies reversal along the first axis.  See Reverse.
ReverseFirst,⊖
ReverseFirst,The form R←⊖Y implies reversal along the first axis.  See Reverse.
The form R←⊖Y implies reversal along the first axis.  See Reverse.,ReverseFirst
Dyadic: Rotate First,⊖
The form R←X⊖Y implies rotation along the first axis.  See Rotate.,⊖
⊖,The form R←X⊖Y implies rotation along the first axis.  See Rotate.
RotateFirst,⊖
RotateFirst,The form R←X⊖Y implies rotation along the first axis.  See Rotate.
The form R←X⊖Y implies rotation along the first axis.  See Rotate.,RotateFirst
⊖,Circle Bar<br/>Monadic: Reverse First<br/>Dyadic: Rotate First
Circle Backslash,⍉
Monadic: Transpose,⍉
"Y may be any array.  R is an array of shape ⌽⍴Y, similar to Y with the order of the axes reversed.",⍉
⍉,"Y may be any array.  R is an array of shape ⌽⍴Y, similar to Y with the order of the axes reversed."
Transpose(Monadic),⍉
Transpose(Monadic),"Y may be any array.  R is an array of shape ⌽⍴Y, similar to Y with the order of the axes reversed."
"Y may be any array.  R is an array of shape ⌽⍴Y, similar to Y with the order of the axes reversed.",Transpose(Monadic)
Dyadic: DyadicTranspose,⍉
"Y may be any array.  X must be a simple scalar or vector whose elements are included in the set ⍳⍴⍴Y.  Integer values in X may be repeated but all integers in the set ⍳⌈/X must be included.  The length of X must equal the rank of Y.<br/>R is an array formed by the transposition of the axes of Y as specified by X.  The Ith element of X gives the new position for the Ith axis of Y.  If X repositions two or more axes of Y to the same axis, the elements used to fill this axis are those whose indices on the relevant axes of Y are equal.<br/>⎕IO is an implicit argument of Dyadic Transpose.<br/>Assign a distinct letter for each unique integer in X :<br/>If R←X⍉Y, then R[i;j;k;…] equals Y indexed by the letters corresponding to elements of X .<br/>From the above it can be seen that:",⍉
⍉,"Y may be any array.  X must be a simple scalar or vector whose elements are included in the set ⍳⍴⍴Y.  Integer values in X may be repeated but all integers in the set ⍳⌈/X must be included.  The length of X must equal the rank of Y.<br/>R is an array formed by the transposition of the axes of Y as specified by X.  The Ith element of X gives the new position for the Ith axis of Y.  If X repositions two or more axes of Y to the same axis, the elements used to fill this axis are those whose indices on the relevant axes of Y are equal.<br/>⎕IO is an implicit argument of Dyadic Transpose.<br/>Assign a distinct letter for each unique integer in X :<br/>If R←X⍉Y, then R[i;j;k;…] equals Y indexed by the letters corresponding to elements of X .<br/>From the above it can be seen that:"
Transpose(Dyadic),⍉
Transpose(Dyadic),"Y may be any array.  X must be a simple scalar or vector whose elements are included in the set ⍳⍴⍴Y.  Integer values in X may be repeated but all integers in the set ⍳⌈/X must be included.  The length of X must equal the rank of Y.<br/>R is an array formed by the transposition of the axes of Y as specified by X.  The Ith element of X gives the new position for the Ith axis of Y.  If X repositions two or more axes of Y to the same axis, the elements used to fill this axis are those whose indices on the relevant axes of Y are equal.<br/>⎕IO is an implicit argument of Dyadic Transpose.<br/>Assign a distinct letter for each unique integer in X :<br/>If R←X⍉Y, then R[i;j;k;…] equals Y indexed by the letters corresponding to elements of X .<br/>From the above it can be seen that:"
"Y may be any array.  X must be a simple scalar or vector whose elements are included in the set ⍳⍴⍴Y.  Integer values in X may be repeated but all integers in the set ⍳⌈/X must be included.  The length of X must equal the rank of Y.<br/>R is an array formed by the transposition of the axes of Y as specified by X.  The Ith element of X gives the new position for the Ith axis of Y.  If X repositions two or more axes of Y to the same axis, the elements used to fill this axis are those whose indices on the relevant axes of Y are equal.<br/>⎕IO is an implicit argument of Dyadic Transpose.<br/>Assign a distinct letter for each unique integer in X :<br/>If R←X⍉Y, then R[i;j;k;…] equals Y indexed by the letters corresponding to elements of X .<br/>From the above it can be seen that:",Transpose(Dyadic)
⍉,Circle Backslash<br/>Monadic: Transpose<br/>Dyadic: DyadicTranspose
Up Arrow,↑
Monadic: If ⎕ML<2 Mix,↑
"The symbol chosen to represent Mix depends on the current Migration Level.<br/>If ‚éēML<2, Mix is represented by the symbol: ‚ÜĎ.<br/>If ‚éēML‚Č•2, Mix is represented by the symbol: ‚äÉ.<br/>Y may be any array whose items may be uniform in rank and shape, or differ in rank and shape. If the items of Y are non-uniform, they are extended prior to the application of the function as follows:<br/>For the purposes of the following narrative,  y represents the virtual item in Y with the greatest rank and shape, with which all other items are extended to conform.<br/>R is an array composed from the items of  Y assembled into a higher-rank array with one less level of nesting. ‚ćīR will be some permutation of (‚ćīY),‚ćīy.<br/>K is an optional axis specification whose value(s)  indicate where in the result the axes of y appear. There are three cases:<br/>If K is absent, the axes of y appear as the last axes of the result.<br/>In this example, the shape of Y is 3, and the shape of  y is 2. So the shape of the result will be a permutation of 2 and 3, i.e. in this simple example, either (2 3) or (3 2).<br/>If K is omitted, the shape of the result is (‚ćīY),‚ćīy.<br/>If K is between 0 and 1, the shape of the result is (‚ćīy),‚ćīY because (‚ćīy) is inserted between the 0th and the 1st axis of the result, i.e. at the beginning.<br/>If K is between 1 and 2, the shape of the result is (‚ćīY),‚ćīy because (‚ćīy) is inserted between the 1st and 2nd axis of the result, i.e. at the end. This is the same as the case when K is omitted.<br/>An integer K may be used instead. If ‚éēML‚Č•2,  ‚äÉ is used instead of ‚ÜĎ).<br/>If the items of Y are unequal in shape, the shorter ones are extended:<br/>Notice that in the last statement, the shape of the third item was extended by catenating it with its prototype.<br/>In the following examples, Y is a matrix of shape (5 4) and each item of Y (y) is a matrix of shape (3 2). The shape of the result will be some permutation of (5 4 3 2).<br/>By default, the axes of y appear in the last position in the shape of the result, but this position is altered by specifying the axis K. Notice where the (3 2) appears in the following results:<br/>Note that ‚äÉ[4]Y generates an INDEX ERROR because 4 is greater than the length of the result.<br/> The axes of y do not have to be contiguous in the shape of the result. By specifying a vector K, they can be distributed. Notice where the 3 and the 2 appear in the following results:<br/>If the items of Y are unequal in rank, the lower rank items are extended in rank by prefixing their shapes with 1s. Each additional 1 may then be increased to match the maximum shape of the other items along that axis.<br/>In the above example, the first item (1) becomes (1 1‚ćī1) to conform with the 3rd item which is rank 2. It is then extended in shape to become (2 4‚ÜĎ1 1‚ćī1) to conform with the 2-row 3rd item, and 4-column 2nd item.. Likewise, the 2nd item becomes a 2-row matrix, and the 3rd item gains another column.",↑
↑,"The symbol chosen to represent Mix depends on the current Migration Level.<br/>If ‚éēML<2, Mix is represented by the symbol: ‚ÜĎ.<br/>If ‚éēML‚Č•2, Mix is represented by the symbol: ‚äÉ.<br/>Y may be any array whose items may be uniform in rank and shape, or differ in rank and shape. If the items of Y are non-uniform, they are extended prior to the application of the function as follows:<br/>For the purposes of the following narrative,  y represents the virtual item in Y with the greatest rank and shape, with which all other items are extended to conform.<br/>R is an array composed from the items of  Y assembled into a higher-rank array with one less level of nesting. ‚ćīR will be some permutation of (‚ćīY),‚ćīy.<br/>K is an optional axis specification whose value(s)  indicate where in the result the axes of y appear. There are three cases:<br/>If K is absent, the axes of y appear as the last axes of the result.<br/>In this example, the shape of Y is 3, and the shape of  y is 2. So the shape of the result will be a permutation of 2 and 3, i.e. in this simple example, either (2 3) or (3 2).<br/>If K is omitted, the shape of the result is (‚ćīY),‚ćīy.<br/>If K is between 0 and 1, the shape of the result is (‚ćīy),‚ćīY because (‚ćīy) is inserted between the 0th and the 1st axis of the result, i.e. at the beginning.<br/>If K is between 1 and 2, the shape of the result is (‚ćīY),‚ćīy because (‚ćīy) is inserted between the 1st and 2nd axis of the result, i.e. at the end. This is the same as the case when K is omitted.<br/>An integer K may be used instead. If ‚éēML‚Č•2,  ‚äÉ is used instead of ‚ÜĎ).<br/>If the items of Y are unequal in shape, the shorter ones are extended:<br/>Notice that in the last statement, the shape of the third item was extended by catenating it with its prototype.<br/>In the following examples, Y is a matrix of shape (5 4) and each item of Y (y) is a matrix of shape (3 2). The shape of the result will be some permutation of (5 4 3 2).<br/>By default, the axes of y appear in the last position in the shape of the result, but this position is altered by specifying the axis K. Notice where the (3 2) appears in the following results:<br/>Note that ‚äÉ[4]Y generates an INDEX ERROR because 4 is greater than the length of the result.<br/> The axes of y do not have to be contiguous in the shape of the result. By specifying a vector K, they can be distributed. Notice where the 3 and the 2 appear in the following results:<br/>If the items of Y are unequal in rank, the lower rank items are extended in rank by prefixing their shapes with 1s. Each additional 1 may then be increased to match the maximum shape of the other items along that axis.<br/>In the above example, the first item (1) becomes (1 1‚ćī1) to conform with the 3rd item which is rank 2. It is then extended in shape to become (2 4‚ÜĎ1 1‚ćī1) to conform with the 2-row 3rd item, and 4-column 2nd item.. Likewise, the 2nd item becomes a 2-row matrix, and the 3rd item gains another column."
Mix,"The symbol chosen to represent Mix depends on the current Migration Level.<br/>If ‚éēML<2, Mix is represented by the symbol: ‚ÜĎ.<br/>If ‚éēML‚Č•2, Mix is represented by the symbol: ‚äÉ.<br/>Y may be any array whose items may be uniform in rank and shape, or differ in rank and shape. If the items of Y are non-uniform, they are extended prior to the application of the function as follows:<br/>For the purposes of the following narrative,  y represents the virtual item in Y with the greatest rank and shape, with which all other items are extended to conform.<br/>R is an array composed from the items of  Y assembled into a higher-rank array with one less level of nesting. ‚ćīR will be some permutation of (‚ćīY),‚ćīy.<br/>K is an optional axis specification whose value(s)  indicate where in the result the axes of y appear. There are three cases:<br/>If K is absent, the axes of y appear as the last axes of the result.<br/>In this example, the shape of Y is 3, and the shape of  y is 2. So the shape of the result will be a permutation of 2 and 3, i.e. in this simple example, either (2 3) or (3 2).<br/>If K is omitted, the shape of the result is (‚ćīY),‚ćīy.<br/>If K is between 0 and 1, the shape of the result is (‚ćīy),‚ćīY because (‚ćīy) is inserted between the 0th and the 1st axis of the result, i.e. at the beginning.<br/>If K is between 1 and 2, the shape of the result is (‚ćīY),‚ćīy because (‚ćīy) is inserted between the 1st and 2nd axis of the result, i.e. at the end. This is the same as the case when K is omitted.<br/>An integer K may be used instead. If ‚éēML‚Č•2,  ‚äÉ is used instead of ‚ÜĎ).<br/>If the items of Y are unequal in shape, the shorter ones are extended:<br/>Notice that in the last statement, the shape of the third item was extended by catenating it with its prototype.<br/>In the following examples, Y is a matrix of shape (5 4) and each item of Y (y) is a matrix of shape (3 2). The shape of the result will be some permutation of (5 4 3 2).<br/>By default, the axes of y appear in the last position in the shape of the result, but this position is altered by specifying the axis K. Notice where the (3 2) appears in the following results:<br/>Note that ‚äÉ[4]Y generates an INDEX ERROR because 4 is greater than the length of the result.<br/> The axes of y do not have to be contiguous in the shape of the result. By specifying a vector K, they can be distributed. Notice where the 3 and the 2 appear in the following results:<br/>If the items of Y are unequal in rank, the lower rank items are extended in rank by prefixing their shapes with 1s. Each additional 1 may then be increased to match the maximum shape of the other items along that axis.<br/>In the above example, the first item (1) becomes (1 1‚ćī1) to conform with the 3rd item which is rank 2. It is then extended in shape to become (2 4‚ÜĎ1 1‚ćī1) to conform with the 2-row 3rd item, and 4-column 2nd item.. Likewise, the 2nd item becomes a 2-row matrix, and the 3rd item gains another column."
"The symbol chosen to represent Mix depends on the current Migration Level.<br/>If ‚éēML<2, Mix is represented by the symbol: ‚ÜĎ.<br/>If ‚éēML‚Č•2, Mix is represented by the symbol: ‚äÉ.<br/>Y may be any array whose items may be uniform in rank and shape, or differ in rank and shape. If the items of Y are non-uniform, they are extended prior to the application of the function as follows:<br/>For the purposes of the following narrative,  y represents the virtual item in Y with the greatest rank and shape, with which all other items are extended to conform.<br/>R is an array composed from the items of  Y assembled into a higher-rank array with one less level of nesting. ‚ćīR will be some permutation of (‚ćīY),‚ćīy.<br/>K is an optional axis specification whose value(s)  indicate where in the result the axes of y appear. There are three cases:<br/>If K is absent, the axes of y appear as the last axes of the result.<br/>In this example, the shape of Y is 3, and the shape of  y is 2. So the shape of the result will be a permutation of 2 and 3, i.e. in this simple example, either (2 3) or (3 2).<br/>If K is omitted, the shape of the result is (‚ćīY),‚ćīy.<br/>If K is between 0 and 1, the shape of the result is (‚ćīy),‚ćīY because (‚ćīy) is inserted between the 0th and the 1st axis of the result, i.e. at the beginning.<br/>If K is between 1 and 2, the shape of the result is (‚ćīY),‚ćīy because (‚ćīy) is inserted between the 1st and 2nd axis of the result, i.e. at the end. This is the same as the case when K is omitted.<br/>An integer K may be used instead. If ‚éēML‚Č•2,  ‚äÉ is used instead of ‚ÜĎ).<br/>If the items of Y are unequal in shape, the shorter ones are extended:<br/>Notice that in the last statement, the shape of the third item was extended by catenating it with its prototype.<br/>In the following examples, Y is a matrix of shape (5 4) and each item of Y (y) is a matrix of shape (3 2). The shape of the result will be some permutation of (5 4 3 2).<br/>By default, the axes of y appear in the last position in the shape of the result, but this position is altered by specifying the axis K. Notice where the (3 2) appears in the following results:<br/>Note that ‚äÉ[4]Y generates an INDEX ERROR because 4 is greater than the length of the result.<br/> The axes of y do not have to be contiguous in the shape of the result. By specifying a vector K, they can be distributed. Notice where the 3 and the 2 appear in the following results:<br/>If the items of Y are unequal in rank, the lower rank items are extended in rank by prefixing their shapes with 1s. Each additional 1 may then be increased to match the maximum shape of the other items along that axis.<br/>In the above example, the first item (1) becomes (1 1‚ćī1) to conform with the 3rd item which is rank 2. It is then extended in shape to become (2 4‚ÜĎ1 1‚ćī1) to conform with the 2-row 3rd item, and 4-column 2nd item.. Likewise, the 2nd item becomes a 2-row matrix, and the 3rd item gains another column.",Mix
Dyadic: Take,↑
"Y may be any array.  X must be a simple integer scalar or vector.<br/>If Y is a scalar, it is treated as a one-element array of shape (⍴,X)⍴1.  The length of X must be the same as or less than the rank of Y. If the length of X is less than the rank of Y, the missing elements of X default to the length of the corresponding axis of Y.<br/>R is an array of the same rank as Y (after possible extension), and of shape |X.  If X[I] (an element of X) is positive, then X[I] sub-arrays are taken from the beginning of the Ith axis of Y.  If X[I] is negative, then X[I] sub-arrays are taken from the end of the Ith axis of Y.<br/>If more elements are taken than exist on axis I, the extra positions in R are filled with the fill element of Y (⊂∊⊃Y with ⎕ml←0).",↑
↑,"Y may be any array.  X must be a simple integer scalar or vector.<br/>If Y is a scalar, it is treated as a one-element array of shape (⍴,X)⍴1.  The length of X must be the same as or less than the rank of Y. If the length of X is less than the rank of Y, the missing elements of X default to the length of the corresponding axis of Y.<br/>R is an array of the same rank as Y (after possible extension), and of shape |X.  If X[I] (an element of X) is positive, then X[I] sub-arrays are taken from the beginning of the Ith axis of Y.  If X[I] is negative, then X[I] sub-arrays are taken from the end of the Ith axis of Y.<br/>If more elements are taken than exist on axis I, the extra positions in R are filled with the fill element of Y (⊂∊⊃Y with ⎕ml←0)."
Take,"Y may be any array.  X must be a simple integer scalar or vector.<br/>If Y is a scalar, it is treated as a one-element array of shape (⍴,X)⍴1.  The length of X must be the same as or less than the rank of Y. If the length of X is less than the rank of Y, the missing elements of X default to the length of the corresponding axis of Y.<br/>R is an array of the same rank as Y (after possible extension), and of shape |X.  If X[I] (an element of X) is positive, then X[I] sub-arrays are taken from the beginning of the Ith axis of Y.  If X[I] is negative, then X[I] sub-arrays are taken from the end of the Ith axis of Y.<br/>If more elements are taken than exist on axis I, the extra positions in R are filled with the fill element of Y (⊂∊⊃Y with ⎕ml←0)."
"Y may be any array.  X must be a simple integer scalar or vector.<br/>If Y is a scalar, it is treated as a one-element array of shape (⍴,X)⍴1.  The length of X must be the same as or less than the rank of Y. If the length of X is less than the rank of Y, the missing elements of X default to the length of the corresponding axis of Y.<br/>R is an array of the same rank as Y (after possible extension), and of shape |X.  If X[I] (an element of X) is positive, then X[I] sub-arrays are taken from the beginning of the Ith axis of Y.  If X[I] is negative, then X[I] sub-arrays are taken from the end of the Ith axis of Y.<br/>If more elements are taken than exist on axis I, the extra positions in R are filled with the fill element of Y (⊂∊⊃Y with ⎕ml←0).",Take
↑,Up Arrow<br/>Monadic: If ⎕ML<2 Mix<br/>Dyadic: Take
Down Arrow,↓
Monadic: Split,↓
"Y may be any array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis is implied.<br/>The items of R are the sub-arrays of Y along the Kth axis.  R is a scalar if Y is a scalar.  Otherwise R is an array whose rank is ¯1+⍴⍴Y and whose shape is (K≠⍳⍴⍴Y)/⍴Y.",↓
↓,"Y may be any array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis is implied.<br/>The items of R are the sub-arrays of Y along the Kth axis.  R is a scalar if Y is a scalar.  Otherwise R is an array whose rank is ¯1+⍴⍴Y and whose shape is (K≠⍳⍴⍴Y)/⍴Y."
Split,"Y may be any array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis is implied.<br/>The items of R are the sub-arrays of Y along the Kth axis.  R is a scalar if Y is a scalar.  Otherwise R is an array whose rank is ¯1+⍴⍴Y and whose shape is (K≠⍳⍴⍴Y)/⍴Y."
"Y may be any array.  The axis specification is optional.  If present, K must be a simple integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis is implied.<br/>The items of R are the sub-arrays of Y along the Kth axis.  R is a scalar if Y is a scalar.  Otherwise R is an array whose rank is ¯1+⍴⍴Y and whose shape is (K≠⍳⍴⍴Y)/⍴Y.",Split
Dyadic: Drop,↓
"Y may be any array.  X must be a simple scalar or vector of integers. If X is a scalar, it is treated as a one-element vector.  If Y is a scalar, it is treated as an array whose shape is (⍴X)⍴1. After any scalar extensions, the shape of X must be less than or equal to the rank of Y. Any missing trailing items in X default to 0.<br/>R is an array with the same rank as Y but with elements removed from the vectors along each of the axes of Y. For the Ith axis:<br/>If the magnitude of X[I] exceeds the length of the Ith axis, the result is an empty array with zero length along that axis.",↓
↓,"Y may be any array.  X must be a simple scalar or vector of integers. If X is a scalar, it is treated as a one-element vector.  If Y is a scalar, it is treated as an array whose shape is (⍴X)⍴1. After any scalar extensions, the shape of X must be less than or equal to the rank of Y. Any missing trailing items in X default to 0.<br/>R is an array with the same rank as Y but with elements removed from the vectors along each of the axes of Y. For the Ith axis:<br/>If the magnitude of X[I] exceeds the length of the Ith axis, the result is an empty array with zero length along that axis."
Drop,"Y may be any array.  X must be a simple scalar or vector of integers. If X is a scalar, it is treated as a one-element vector.  If Y is a scalar, it is treated as an array whose shape is (⍴X)⍴1. After any scalar extensions, the shape of X must be less than or equal to the rank of Y. Any missing trailing items in X default to 0.<br/>R is an array with the same rank as Y but with elements removed from the vectors along each of the axes of Y. For the Ith axis:<br/>If the magnitude of X[I] exceeds the length of the Ith axis, the result is an empty array with zero length along that axis."
"Y may be any array.  X must be a simple scalar or vector of integers. If X is a scalar, it is treated as a one-element vector.  If Y is a scalar, it is treated as an array whose shape is (⍴X)⍴1. After any scalar extensions, the shape of X must be less than or equal to the rank of Y. Any missing trailing items in X default to 0.<br/>R is an array with the same rank as Y but with elements removed from the vectors along each of the axes of Y. For the Ith axis:<br/>If the magnitude of X[I] exceeds the length of the Ith axis, the result is an empty array with zero length along that axis.",Drop
↓,Down Arrow<br/>Monadic: Split<br/>Dyadic: Drop
Left Shoe,⊂
Monadic: Enclose,⊂
"Y may be any array.  R is a scalar array whose item is the array Y.  If Y is a simple scalar, R is the simple scalar unchanged.  Otherwise, R has a depth whose magnitude is one greater than the magnitude of the depth of Y.<br/>See also: Enclose with Axes.",⊂
⊂,"Y may be any array.  R is a scalar array whose item is the array Y.  If Y is a simple scalar, R is the simple scalar unchanged.  Otherwise, R has a depth whose magnitude is one greater than the magnitude of the depth of Y.<br/>See also: Enclose with Axes."
Enclose,"Y may be any array.  R is a scalar array whose item is the array Y.  If Y is a simple scalar, R is the simple scalar unchanged.  Otherwise, R has a depth whose magnitude is one greater than the magnitude of the depth of Y.<br/>See also: Enclose with Axes."
"Y may be any array.  R is a scalar array whose item is the array Y.  If Y is a simple scalar, R is the simple scalar unchanged.  Otherwise, R has a depth whose magnitude is one greater than the magnitude of the depth of Y.<br/>See also: Enclose with Axes.",Enclose
Dyadic: If ⎕ML<3 Partitioned Enclose,⊂
"Y may be any array.  X must be a simple integer scalar or vector. If X is a scalar it is extended to (‚ČĘY)‚ćīX.<br/>The axis specification is optional.  If present, it must be a simple integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis of Y is implied.<br/>R is a vector of items selected from Y by inserting 0 or more dividers, specified by X, between its major cells.<br/>Each element of X specifies the number of dividers to insert before the corresponding major cell of Y. The maximum length of X is 1+‚ČĘY, when the last element of X specifies the number of trailing dividers. Note that major cells of Y that precede the first divider (identified by the first non-zero element of X) are excluded from the result.<br/>The length of R is +/X (after possible extension).<br/>The above examples may be explained pictorially by the diagram below.",⊂
⊂,"Y may be any array.  X must be a simple integer scalar or vector. If X is a scalar it is extended to (‚ČĘY)‚ćīX.<br/>The axis specification is optional.  If present, it must be a simple integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis of Y is implied.<br/>R is a vector of items selected from Y by inserting 0 or more dividers, specified by X, between its major cells.<br/>Each element of X specifies the number of dividers to insert before the corresponding major cell of Y. The maximum length of X is 1+‚ČĘY, when the last element of X specifies the number of trailing dividers. Note that major cells of Y that precede the first divider (identified by the first non-zero element of X) are excluded from the result.<br/>The length of R is +/X (after possible extension).<br/>The above examples may be explained pictorially by the diagram below."
PartitionedEnclose,⊂
PartitionedEnclose,"Y may be any array.  X must be a simple integer scalar or vector. If X is a scalar it is extended to (‚ČĘY)‚ćīX.<br/>The axis specification is optional.  If present, it must be a simple integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis of Y is implied.<br/>R is a vector of items selected from Y by inserting 0 or more dividers, specified by X, between its major cells.<br/>Each element of X specifies the number of dividers to insert before the corresponding major cell of Y. The maximum length of X is 1+‚ČĘY, when the last element of X specifies the number of trailing dividers. Note that major cells of Y that precede the first divider (identified by the first non-zero element of X) are excluded from the result.<br/>The length of R is +/X (after possible extension).<br/>The above examples may be explained pictorially by the diagram below."
"Y may be any array.  X must be a simple integer scalar or vector. If X is a scalar it is extended to (‚ČĘY)‚ćīX.<br/>The axis specification is optional.  If present, it must be a simple integer scalar or one-element vector.  The value of K must be an axis of Y.  If absent, the last axis of Y is implied.<br/>R is a vector of items selected from Y by inserting 0 or more dividers, specified by X, between its major cells.<br/>Each element of X specifies the number of dividers to insert before the corresponding major cell of Y. The maximum length of X is 1+‚ČĘY, when the last element of X specifies the number of trailing dividers. Note that major cells of Y that precede the first divider (identified by the first non-zero element of X) are excluded from the result.<br/>The length of R is +/X (after possible extension).<br/>The above examples may be explained pictorially by the diagram below.",PartitionedEnclose
⊂,Left Shoe<br/>Monadic: Enclose<br/>Dyadic: If ⎕ML<3 Partitioned Enclose
Left Shoe Underbar,⊆
Monadic: Nest,⊆
"Classic Edition: the symbol ⊆ (Left Shoe Underbar) is not available in Classic Edition, and Nest is instead represented by ⎕U2286.<br/>Y may be any array.<br/>If Y is simple, R is a scalar array whose item is the array Y.  If Y is a simple scalar or is already nested, R is Y unchanged. ",⊆
⊆,"Classic Edition: the symbol ⊆ (Left Shoe Underbar) is not available in Classic Edition, and Nest is instead represented by ⎕U2286.<br/>Y may be any array.<br/>If Y is simple, R is a scalar array whose item is the array Y.  If Y is a simple scalar or is already nested, R is Y unchanged. "
Nest,"Classic Edition: the symbol ⊆ (Left Shoe Underbar) is not available in Classic Edition, and Nest is instead represented by ⎕U2286.<br/>Y may be any array.<br/>If Y is simple, R is a scalar array whose item is the array Y.  If Y is a simple scalar or is already nested, R is Y unchanged. "
"Classic Edition: the symbol ⊆ (Left Shoe Underbar) is not available in Classic Edition, and Nest is instead represented by ⎕U2286.<br/>Y may be any array.<br/>If Y is simple, R is a scalar array whose item is the array Y.  If Y is a simple scalar or is already nested, R is Y unchanged. ",Nest
Dyadic: Partition,⊆
"Classic Edition: the symbol вҠҶ (Left Shoe Underbar) is not available in Classic Edition, and Partition is instead represented by вҺ•U2286.<br/>Y may be any non-scalar array.<br/>X must be a simple scalar or vector of non-negative integers.<br/>The axis specification is optional.  If present, it must be a simple integer scalar or one element array representing an axis of Y.  If absent, the last axis is implied.<br/>R is an array of the elements of Y partitioned according to X.<br/>A new partition is started in the result whenever the corresponding element in X is greater than the previous one. Items in Y corresponding to 0s in X are not included in the result.<br/>Note that if вҺ•MLвүҘ3, the symbol вҠӮ means the same as вҠҶ.",⊆
⊆,"Classic Edition: the symbol вҠҶ (Left Shoe Underbar) is not available in Classic Edition, and Partition is instead represented by вҺ•U2286.<br/>Y may be any non-scalar array.<br/>X must be a simple scalar or vector of non-negative integers.<br/>The axis specification is optional.  If present, it must be a simple integer scalar or one element array representing an axis of Y.  If absent, the last axis is implied.<br/>R is an array of the elements of Y partitioned according to X.<br/>A new partition is started in the result whenever the corresponding element in X is greater than the previous one. Items in Y corresponding to 0s in X are not included in the result.<br/>Note that if вҺ•MLвүҘ3, the symbol вҠӮ means the same as вҠҶ."
Partition,"Classic Edition: the symbol вҠҶ (Left Shoe Underbar) is not available in Classic Edition, and Partition is instead represented by вҺ•U2286.<br/>Y may be any non-scalar array.<br/>X must be a simple scalar or vector of non-negative integers.<br/>The axis specification is optional.  If present, it must be a simple integer scalar or one element array representing an axis of Y.  If absent, the last axis is implied.<br/>R is an array of the elements of Y partitioned according to X.<br/>A new partition is started in the result whenever the corresponding element in X is greater than the previous one. Items in Y corresponding to 0s in X are not included in the result.<br/>Note that if вҺ•MLвүҘ3, the symbol вҠӮ means the same as вҠҶ."
